"","n_bill","n_player","loop"
"1",1,2,1
"2",1,3,2.676
"3",1,4,5.108
"4",1,5,8.35
"5",1,6,11.411
"6",1,7,14.749
"7",1,8,19.065
"8",1,9,23.003
"9",1,10,26.658
"10",2,2,1
"11",2,3,4.192
"12",2,4,8.524
"13",2,5,12.91
"14",2,6,17.972
"15",2,7,22.98
"16",2,8,28.253
"17",2,9,32.983
"18",2,10,39.045
"19",3,2,1
"20",3,3,6.94
"21",3,4,12.946
"22",3,5,18.506
"23",3,6,24.685
"24",3,7,31.208
"25",3,8,37.354
"26",3,9,43.628
"27",3,10,51.023
"28",4,2,3.757
"29",4,3,9.997
"30",4,4,16.882
"31",4,5,24.084
"32",4,6,31.298
"33",4,7,39.204
"34",4,8,46.343
"35",4,9,54.246
"36",4,10,62.39
"37",5,2,5.455
"38",5,3,13.208
"39",5,4,21.223
"40",5,5,29.098
"41",5,6,38.252
"42",5,7,46.377
"43",5,8,54.897
"44",5,9,64.723
"45",5,10,73.415
"46",6,2,7.325
"47",6,3,15.829
"48",6,4,25.311
"49",6,5,34.441
"50",6,6,44.67
"51",6,7,54.572
"52",6,8,64.345
"53",6,9,74.62
"54",6,10,85.106
"55",7,2,9.184
"56",7,3,18.619
"57",7,4,29.248
"58",7,5,40.025
"59",7,6,51.096
"60",7,7,62.115
"61",7,8,72.695
"62",7,9,85.369
"63",7,10,95.18
"64",8,2,11.029
"65",8,3,21.58
"66",8,4,33.128
"67",8,5,45.478
"68",8,6,56.97
"69",8,7,69.435
"70",8,8,81.689
"71",8,9,94.436
"72",8,10,106.877
"73",9,2,12.783
"74",9,3,24.539
"75",9,4,37.688
"76",9,5,50.663
"77",9,6,63.561
"78",9,7,77.134
"79",9,8,90.102
"80",9,9,104.502
"81",9,10,117.856
"82",10,2,14.749
"83",10,3,27.557
"84",10,4,41.371
"85",10,5,55.912
"86",10,6,69.967
"87",10,7,84.303
"88",10,8,98.84
"89",10,9,114.117
"90",10,10,129.203
